Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
2016.12.24,24-Dec-16,2016,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,,Buttock bitten,N,Morning,a small shark,
2016.12.19,19-Dec-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",
2016.12.14,14-Dec-16,2016,Unprovoked,AUSTRALIA,Western Australia,Free diving,M,61,Punctures to left foot/ankle,N,09h30,,
2016.12.11.b,11-Dec-16,2016,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,M,40s,Hand injured?,N,,,
2016.12.11.a,11-Dec-16,2016,Invalid,USA,Florida,Surfing,M,19,Cuts to right ankle & foot,,Afternoon,Shark involvement not confirmed,
2016.12.06,6-Dec-16,2016,Provoked,AUSTRALIA,New South Wales,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m",
2016.12.01,1-Dec-16,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark,
2016.11.28,28-Nov-16,2016,Provoked,AUSTRALIA,Victoria,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m",
2016.11.14,14-Nov-16,2016,Unprovoked,USA,Hawaii,Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark,
2016.10.30,30-Oct-16,2016,Unprovoked,USA,Florida,Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon,,
2016.10.29,29-Oct-16,2016,Unprovoked,USA,Florida,Surfing,M,42,Lacerations to right hand,N,Afternoon,,
2016.10.24,24-Oct-16,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,36,Lacerations to left thigh,N,07h30,,
2016.10.21,21-Oct-16,2016,Unprovoked,USA,Hawaii,Surfing,M,36,Left arm and leg injured,N,17h00, 6' to 8' shark,
2016.10.15,15-Oct-16,2016,Unprovoked,AUSTRALIA,Queensland,Surfing,M,,Torso nipped,N,18h00,,
2016.10.14,14-Oct-16,2016,Unprovoked,USA,Hawaii,Snorkeling,F,66,Injuries to left calf,N,09h50,,
2016.10.13.R,13-Oct-16,2016,Invalid,MEXICO,,Cage Diving,M,,"Shark breached cage, no injury to diver",,,White shark,
2016.10.12,12-Oct-16,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30,,
2016.10.10,10-Oct-16,2016,Unprovoked,USA,Oregon,Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00,,
2016.10.02,2-Oct-16,2016,Unprovoked,USA,Florida,Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30,,
2016.10.01,1-Oct-16,2016,Unprovoked,USA,Florida,Surfng,M,32,Minor injuries,N,17h30,,
2016.09.26,26-Sep-16,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",
2016.09.18.c,18-Sep-16,2016,Unprovoked,USA,Florida,Surfing,M,16,Minor injury to thigh,N,13h00,,
2016.09.18.b,18-Sep-16,2016,Unprovoked,USA,Florida,Surfing,M,36,Lacerations to hands,N,11h00,,
2016.09.18.a,18-Sep-16,2016,Unprovoked,USA,Florida,Surfing,M,43,Lacerations to lower leg,N,10h43,,
2016.09.17.b,17-Sep-16,2016,Unprovoked,USA,California,Surfing,M,43,"No injury, board bitten",N,After noon,,
2016.09.17.a,17-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Surfing,M,,Struck by fin on chest & leg,N,,,
2016.09.15,16-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Surfing,M,,No injury: Knocked off board by shark,N,,2 m shark,
2016.09.15.R,15-Sep-16,2016,Boating,AUSTRALIA,Western Australia,Fishing,,,Shark rammed boat. No injury to occupant,N,,,
2016.09.11,11-Sep-16,2016,Unprovoked,USA,Florida,Wading,M,60s,Minor injury to arm,N,15h15,3' to 4' shark,
2016.09.07,7-Sep-16,2016,Unprovoked,USA,Hawaii,Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",
2016.09.06,6-Sep-16,2016,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,50,FATAL,Y,15h40,,
2016.09.05.b,5-Sep-16,2016,Unprovoked,USA,South Carolina,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,,
2016.09.05.a,5-Sep-16,2016,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No inury, board broken in half by shark",N,Late afternoon,,
2016.09.04,4-Sep-16,2016,Unprovoked,USA,Florida,Body boarding,M,9,Foot bitten,N,,,
2016.09.01,1-Sep-16,2016,Unprovoked,USA,California,Spearfishing,M,22,Two toes broken & lacerated,N,,"White shark, 8' to 10'",
2016.09.00,16-Sep,2016,Invalid,MEXICO,,Cage Diving,,,"No injury to divers, white shark breached cage",,,Invalid,
2016.08.29.b,29-Aug-16,2016,Unprovoked,USA,Florida,Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6'",
2016.08.29.a,29-Aug-16,2016,Unprovoked,USA,Florida,Surfing,M,37,Minor injury to ankle,N,14h00,,
2016.08.27,27-Aug-16,2016,Unprovoked,REUNION,,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m",
2016.08.25,25-Aug-16,2016,Unprovoked,USA,Florida,Wading,M,49,Minor injury to ankle,N,16h00,,
2016.08.07,7-Aug-16,2016,Unprovoked,BAHAMAS,New Providence Island,Snorkeling,M,15,Lacerations to left leg,N,,,
2016.08.06,6-Aug-16,2016,Unprovoked,USA,Hawaii,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10' ",
2016.08.04,4-Aug-16,2016,Unprovoked,USA,Florida,Surfing,M,22,Big toe bitten,N,,Blacktip shark,
2016.07.29,29-Jul-16,2016,Unprovoked,SPAIN,Alicante Province,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark,
2016.07.28.R,28-Jul-16,2016,Unprovoked,CHINA,Hong Kong,Swimming,M,72,Lacerations to leg,N,,,
2016.07.28,28-Jul-16,2016,Boating,AUSTRALIA,Western Australia,Kayaking,M,,"No injury, shark nudged kayak repeatedly",N,,White shark,
2016.07.27,27-Jul-16,2016,Provoked,USA,Florida,Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,,"Nurse shark, 4'",
2016.07.26,26-Jul-16,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,
2016.07.24,24-Jul-16,2016,Unprovoked,JAPAN,Kochi Prefecture,Surfing,M,29,Lacerations to left leg,N,19h05,,
2016.07.23.b,23-Jul-16,2016,Unprovoked,AUSTRALIA,Tasmania,Surfing,M,36,Calf bumped but no injury,N,,,
2016.07.23.a,23-Jul-16,2016,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,,Lacerations to face and right leg,N,,"Bull shark, 6'",
2016.07.20,20-Jul-16,2016,Provoked,AUSTRALIA,Queensland,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m",
2016.07.17,17-Jul-16,2016,Boating,USA,Alabama,Fishing in Alabama Deep Fishing Rodeo,,,"No injury, shark bit trolling motor",N,,"Tiger shark, 10' ",
2016.07.16.b,16-Jul-16,2016,Unprovoked,USA,Florida,Surfing,F,9,Minor injury to leg,N,1300,,
2016.07.16.a,16-Jul-16,2016,Unprovoked,USA,Florida,,F,11,Minor injury to toes,N,11h00,,
2016.07.15.b,15-Jul-16,2016,Unprovoked,USA,California,Kite surfing,M,61,"No injury, board damaged",N,17h00,"White shark, 10' to 12'",
2016.07.15.a,15-Jul-16,2016,Unprovoked,USA,South Carolina,Swimming,M,,Puncture wounds to foot,N,,,
2016.07.14.R,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,,Scuba Diving,M,,Face bruised when partly blind shark collided with him,N,,"Lemon shark, 9'",
2016.07.08.R,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Canary Islands,Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel shark,
2016.07.08,8-Jul-16,2016,Boating,USA,California,Fishing for squid,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,
2016.07.07.b,7-Jul-16,2016,Provoked,USA,Massachusetts,Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark,
2016.07.07.a,7-Jul-16,2016,Boating,USA,California,Fishing for sharks,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,
2016.07.06,6-Jul-16,2016,Unprovoked,USA,Florida,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,
2016.07.04,4-Jul-16,2016,Provoked,AUSTRALIA,Queensland,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,
2016.06.27,27-Jun-16,2016,Unprovoked,USA,South Carolina,,M,35,Minor injury,N,16h20,3' to 4' shark,
2016.06.25,25-Jun-16,2016,Unprovoked,USA,North Carolina,Surfing,M,11,Foot injured,N,14h34,,
2016.06.24,24-Jun-16,2016,Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,M,59,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'",
2016.06.23,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,43,Injuries to left leg & right hand,N,,White shark,
2016.06.21.b,21-Jun-16,2016,Unprovoked,USA,South Carolina,Floating,M,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark,
2016.06.21.a,21-Jun-16,2016,Unprovoked,USA,Florida,Wading,M,,Injuries to right calf,N,14h55,,
2016.06.15.b,15-Jun-16,2016,Unprovoked,USA,Hawaii,Surfing,M,,Single puncture wound to arm,N,06h00,3' to 4' shark,
2016.06.15.a,15-Jun-16,2016,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' shark,
2016.06.14,14-Jun-16,2016,Unprovoked,USA,Texas,Floating in tube,F,6,Injury to lower leg,N,17h30,3' to 4' shark,
2016.06.11,11-Jun-16,2016,Unprovoked,USA,North Carolina,Standing,M,19,Laceration to wrist,N,15h00,3' shark,
2016.06.07,7-Jun-16,2016,Invalid,USA,South Carolina,Surfing,M,27,"No injury, board damaged",,11h30,Said to involve an 8' shark but more likely damage caused by debris,
2016.06.05.b,5-Jun-16,2016,Unprovoked,USA,Florida,Swimming,M,64,Leg bitten,N,08h30,,
2016.06.05.a,5-Jun-16,2016,Unprovoked,AUSTRALIA,Western Australia,Diving,F,60,FATAL,Y,11h30,3+ m shark,
2016.06.04,4-Jun-16,2016,Unprovoked,EGYPT,Suez,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Mako shark,
2016.06.02.b,2-Jun-16,2016,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,,"No injury, but sharks repeatedly hit their fins and guns",,,Bronze whaler sharks x 3,
2016.06.02.a,2-Jun-16,2016,Unprovoked,NEW CALEDONIA,,Kite surfing,M,,Laceration to heel,N,Afternoon,3 m shark,
2016.05.31,31-May-16,2016,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,29,FATAL,Y,16h00,White shark,
2016.05.29.b,29-May-16,2016,Unprovoked,USA,California,Swimming,F,52,Injuries to arm and shoulder,N,16h00,,
2016.05.29.a,29-May-16,2016,Unprovoked,USA,Florida,Swimming,M,13,Injury to posterior right leg,N,15h45,5' shark,
2016.05.22,22-May-16,2016,Unprovoked,USA,Florida,Swimming,F,57,Puncture wounds to thigh,N,12h00,,
2016.05.21.b,21-May-16,2016,Unprovoked,USA,Florida,Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'",
2016.05.21.a,21-May-16,2016,Unprovoked,USA,Florida,Swimming,F,11,"Back, arm & hand injured",N,17h46,,
2016.05.18,18-May-16,2016,Unprovoked,USA,Florida,Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4'",
2016.05.15,15-May-16,2016,Provoked,USA,Florida,Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'",
2016.05.03,3-May-16,2016,Unprovoked,USA,Hawaii,Floating,M,59,Minor lacerations to right shoulder,N,15h49,,
2016.05.02,2-May-16,2016,Provoked,NEW ZEALAND,North Island,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5'] ",
2016.04.25,25-Apr-16,2016,Unprovoked,INDONESIA,Bali,Surfing,M,24,Elbow bitten,N,07h00,"Bull shark, 6'",
2016.04.23,23-Apr-16,2016,Unprovoked,USA,Florida,Surfing,M,15,Minor injury to left foot,N,17h30,,
2016.04.22,22-Apr-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,,"No injury, surf-ski bitten",N,08h00,White shark,
2016.04.19,19-Apr-16,2016,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong shark,
2016.04.18.b,18-Apr-16,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,22,Laceration to knee by speared shark PROVOKED INCIDENT,M,Morning,"Grey reef shark, 2 m",
2016.04.18.a,18-Apr-16,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Morning,"Grey reef shark, 2 m",
2016.04.13,13-Apr-16,2016,Unprovoked,USA,Florida,Spearfishing,M,26,Multiple bites to right arm,N,,"Bull shark, 7'",
2016.04.09,9-Apr-16,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,F,69,FATAL,Y,10h45,"Tiger shark, 2.5 m",
2016.04.08,8-Apr-16,2016,Invalid,CAPE VERDE,Boa Vista Island,,M,60,"""Serious""",,,Shark involvement not confirmed,
2016.04.07.b,7-Apr-16,2016,Unprovoked,USA,Florida,Fishing,M,34,Left hand bitten,N,,5' to 6' shark,
2016.04.07.a,7-Apr-16,2016,Invalid,USA,Florida,SUP,M,,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,,,,
2016.03.31,31-Mar-16,2016,Unprovoked,USA,Hawaii,Snorkeling,F,46,Minor injury to left foot,N,11h00,,
2016.03.30,30-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,22,Severe injury to thigh,N,19h00,,
2016.03.28.b,28-Mar-16,2016,Unprovoked,USA,Florida,,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,,,Shark involvement not confirmed,
2016.03.28.a,28-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,41,"No injury, board dented",N,11h00,,
2016.03.26,26-Mar-16,2016,Provoked,BAHAMAS,,,M,9,Minor injury to chest PROVOKED INCIDENT,N,,"Nurse shark, 2.5-ft",
2016.03.13,13-Mar-16,2016,Invalid,USA,California,Surfing,,,Board reportedly bumped by shark. No injury,,Morning,Shark involvement not confirmed,
2016.03.11,11-Mar-16,2016,Unprovoked,USA,Florida,Body surfing,M,19,Lacerations to right foot and ankle,N,13h30,,
2016.03.10,10-Mar-16,2016,Unprovoked,Fiji,Vanua Levu,Diving for beche-de-mer,M,45,FATAL,Y,Afternoon,,
2016.03.04,4-Mar-16,2016,Unprovoked,USA,Florida,,M,12,Superficial injury to foot,N,Afternoon,,
2016.03.03.R,Reported 03-Mar-2016,2016,Unprovoked,AUSTRALIA,South Australia,Fishing,M,,Puncture wounds to right calf,N,Midnight,Bronze whaler,
2016.03.02,2-Mar-16,2016,Unprovoked,BRAZIL,Santa Catarina State,Swimming,M,41,Minor injury to head,N,,Sandtiger shark,
2016.02.22,22-Feb-16,2016,Unprovoked,NEW CALEDONIA,South Province,Kite surfing,M,21,Puncture wounds to right thigh,N,19h00,,
2016.02.19, 19-Feb-2016,2016,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,M,31,Forearm bitten,N,16h00,,
2016.02.12,12-Feb-16,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,Wading,F,,Avulsion injury to lower leg,N,15h00,,
2016.02.10.R,Reported 10-Feb-2016,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Feeding stingrays?,M,65,Minor injury to wrist from Southern stingray,,,No shark involvement,
2016.02.10,10-Feb-16,2016,Invalid,AUSTRALIA,Tasmania,Surfing,M,,"No injury, knocked off board",,12h30,No shark involvement,
2016.02.05,5-Feb-16,2016,Unprovoked,AUSTRALIA,Queensland,Walking,F,45,Foot nipped,N,13h20,,
2016.02.04,4-Feb-16,2016,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,M,40,"No injury, shark bit board",N,Late afternoon,,
2016.02.02,2-Feb-16,2016,Unprovoked,BRAZIL,Balneario Camboriu,Swimming,M,41,Lacerations to scalp,N,,Sandtiger shark,
2016.01.29,29-Jan-16,2016,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,,"No injury, shark capsized kayak",N,,,
2016.01.28,28-Jan-16,2016,Unprovoked,USA,Hawaii,Surfing,M,,Lacerations to both hands,N,14h00,"Reef shark, 5'",
2016.01.25,25-Jan-16,2016,Unprovoked,USA,Hawaii,Surfing,F,15,No injury,N,11h30,,
2016.01.24.b,24-Jan-16,2016,Unprovoked,USA,Texas,Spearfishing,M,,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00,Bull sharks x 2,
2016.01.24.a,24-Jan-16,2016,Boating,UNITED ARAB EMIRATES,Fujairah Emirate,Fishing,M,,"No injury to occupants, shark leapt into boat",N,,Mako shark,
2016.01.23,23-Jan-16,2016,Unprovoked,USA,Hawaii,Paddle boarding,M,48,No injury,N,Morning,"Tiger shark, 14'",
2016.01.11.R,Reported 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,Surfing,M,,Laceration to right foot,N,,Wobbegong shark,
2016.01.05,5-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Wading,M,11,Laceration to right calf,N,Afternoon,Blacktip shark,
2016.01.02,2-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,31,Lacerations to arms & leg,N,11h30,3 m shark,
2015.12.26,26-Dec-15,2015,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak Fishing,M,,"No injury, kayak damaged",N,Morning,"White shark, 3 m",
2015.12.25,25-Dec-15,2015,Unprovoked,SPAIN,Grand Canary Island,Swimming,F,38,Lacerations to left forearm,N,,"Silky shark, 6.5'",
2015.12.22,22-Dec-15,2015,Unprovoked,USA,Hawaii,Paddle boarding,M,71,"No injury, shark bit board",N,Morning,9' shark,
2015.12.21.b,21-Dec-15,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,43,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'",
2015.12.21.a,21-Dec-15,2015,Unprovoked,BRAZIL,Pernambuco,Scuba diving,M,32,Right hand & part of forearm removed,N,,"Tiger shark, 1.5 m ",
2015.12.19,19-Dec-15,2015,Unprovoked,ARUBA,,Sea disaster,M,58,FATAL,Y,,,
2015.12.13,13-Dec-15,2015,Boating,AUSTRALIA,New South Wales,Fishing,,,"No injury, shark rammed boat & bit motor",N,10h30,"White shark, 3.5 m",
2015.12.11,11-Dec-15,2015,Unprovoked,BAHAMAS,,Lobster fishing,M,26,"Bitten on thigh, abdomen & hand",N,,Bull shark,
2015.12.08,8-Dec-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,Morning,,
2015.11.20,20-Nov-15,2015,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,55,Lacerations to left calf,N,10h15,Galapagos shark,
2015.11.16,16-Nov-15,2015,Unprovoked,USA,Florida,Surfing,M,,Right heel injured,N,Afternoon,,
2015.11.15.b,15-Nov-15,2015,Unprovoked,USA,Florida,Swimming,F,,Leg injured,N,11h00,,
2015.11.15.a,15-Nov-15,2015,Unprovoked,USA,Florida,Surfing,M,28,Lacerations to hand,N,,"Spinner shark, 7'",
2015.11.10,10-Nov-15,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,20,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m",
2015.12.23,7-Nov-15,2015,Invalid,USA,Florida,Surfing,F,9,Lower left leg injured,,11h00,Shark involvement not confirmed,
2015.11.03,3-Nov-15,2015,Unprovoked,USA,Hawaii,Swimming,M,54,Laceration to right ankle,N,11h00,,
2015.11.01.b,1-Nov-15,2015,Unprovoked,USA,Florida,Wading,F,28,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark,
2015.11.01.a,1-Nov-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,19,"Arms severely injured, surgically amputated",N,04h00,,
2015.10.30,30-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,50,Minor injury,N,,,
2015.10.28.a,28-Oct-15,2015,Unprovoked,USA,Hawaii,Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,,
2015.10.25,25-Oct-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m ",
2015.10.21,21-Oct-15,2015,Unprovoked,USA,Florida,Surfing,M,21,Lacerations to left hand,N,14h30,5' shark,
2015.10.19,19-Oct-15,2015,Unprovoked,USA,Florida,Surfing,M,21,Left foot bitten,N,13h50,"Spinner shark, 5'",
2015.10.17.c,17-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing for shrimp,F,35,FATAL,Y,,,
2015.10.17.b,17-Oct-15,2015,Invalid,USA,Hawaii,Surfing,M,32,Left foot bitten by eel,,19h20,No shark involvement,
2015.10.17.a,17-Oct-15,2015,Unprovoked,USA,Hawaii,Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,11h30,"Tiger shark, 7'",
2015.10.13,13-Oct-15,2015,Boating,USA,California,Kayak Fishing,M,,"No injury, shark rammed kayak repeatedly",N,11h00,Hammerhead sp.,
2015.10.09.b,9-Oct-15,2015,Unprovoked,USA,South Carolina,Boogie boarding,F,9,Laceration to forearm,N,16h20,,
2015.10.09.a,9-Oct-15,2015,Unprovoked,USA,Hawaii,Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13' ",
2015.10.08,8-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,,"Arm severely injured, surgically amputated",N,,,
2015.10.07,7-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,18,Foot injured,N,16h50,,
2015.10.05.b,5-Oct-15,2015,Unprovoked,USA,Florida,Body boarding,M,22,2 lacerations to ankle,N,13h00,,
2015.10.05.a,5-Oct-15,2015,Unprovoked,USA,Texas,Wading,M,13,Foot & hands bitten,N,10h00,4' to 5' shark,
2015.10.04,4-Oct-15,2015,Unprovoked,USA,Florida,Surfing,M,14,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'",
2015.09.29,29-Sep-15,2015,Unprovoked,USA,Florida,Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'",
2015.09.26,26-Sep-15,2015,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,7,Laceration to leg,N,Afternoon,,
2015.09.24,24-Sep-15,2015,Boating,USA,California,Kayak fishing,M,,"No injury, kayak damaged",N,10h45-11h15,"White shark, 19'",
2015.09.20.d,20-Sep-15,2015,Unprovoked,USA,Florida,Surfing,M,14,Minor injury to left ankle,N,16h45,juvenile shark,
2015.09.20.c,20-Sep-15,2015,Unprovoked,USA,Hawaii,Spearfishing,M,27,Severe laceration to left leg,N,15h52,"Tiger shark, 13'",
2015.09.20.b,20-Sep-15,2015,Unprovoked,USA,Florida,Wading,M,12,Significant injuries to leg,N,12h30,4' shark,
2015.09.20.a,20-Sep-15,2015,Unprovoked,USA,Florida,Photographing fish,M,16,Injury to right hand / wrist,N,07h30,,
2015.09.19,19-Sep-15,2015,Boating,USA,California,Kayak Fishing,M,,No injury,N,,Hammerhead shark,
2015.09.18,18-Sep-15,2015,Unprovoked,USA,Florida,Swimming,M,,Lacerations to calf,N,19h00,,
2015.09.17,17-Sep-15,2015,Unprovoked,USA,Florida,Surfing,M,20,Injury to right foot,N,15h00,,
2015.09.08,8-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,42,Minor laceration to hand,N,06h15,6' shark,
2015.09.06,6-Sep-15,2015,Unprovoked,USA,California,Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'",
2015.09.05,5-Sep-15,2015,Provoked,USA,California,Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,Hammerhead shark.,
2015.09.04,4-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m",
